ID,ECFP_L1,ECFP_L2,COAF_L1,COAF_L2
16365,CN(C)C(NCCCC(C(O)=O)NC(CCc1nc(-c(cccc2)c2F)n[o]1)=O)=O,CN(C)C(NCCCCNC(CCc1nc(-c(cccc2)c2F)n[o]1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc1nc(-c(cccc2)c2F)n[o]1)=O)=O,CN(C)C(NCCCCN(C(CCc1nc(-c(cccc2)c2F)n[o]1)=O)[Hg])=O
16366,Cc(cc1)ccc1C(CCC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)=O,Cc(cc1)ccc1C(CCC(NCCCCNC(N(C)C)=O)=O)=O,Cc(cc1)ccc1C(CCC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)=O,Cc(cc1)ccc1C(CCC(N(CCCCNC(N(C)C)=O)[Hg])=O)=O
16367,CN(C)C(NCCCC(C(O)=O)NC(CCC(c1ccccc1)=O)=O)=O,CN(C)C(NCCCCNC(CCC(c1ccccc1)=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCC(c1ccccc1)=O)=O)=O,CN(C)C(NCCCCN(C(CCC(c1ccccc1)=O)=O)[Hg])=O
16368,Cc1ccc(CCC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)cc1,Cc1ccc(CCC(NCCCCNC(N(C)C)=O)=O)cc1,Cc1ccc(CCC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)cc1,Cc1ccc(CCC(N(CCCCNC(N(C)C)=O)[Hg])=O)cc1
16369,CN(C)C(NCCCC(C(O)=O)NC(CCc(cccc1)c1OC)=O)=O,CN(C)C(NCCCCNC(CCc(cccc1)c1OC)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc(cccc1)c1OC)=O)=O,CN(C)C(NCCCCN(C(CCc(cccc1)c1OC)=O)[Hg])=O
16370,Cc1c(CCC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)cccc1,Cc1c(CCC(NCCCCNC(N(C)C)=O)=O)cccc1,Cc1c(CCC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)cccc1,Cc1c(CCC(N(CCCCNC(N(C)C)=O)[Hg])=O)cccc1
16371,CN(C)C(NCCCC(C(O)=O)NC(CCc(cc1)ccc1OC)=O)=O,CN(C)C(NCCCCNC(CCc(cc1)ccc1OC)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc(cc1)ccc1OC)=O)=O,CN(C)C(NCCCCN(C(CCc(cc1)ccc1OC)=O)[Hg])=O
16372,Cc(cc(CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)cc1)c1OC,Cc(cc(CC(NCCCCNC(N(C)C)=O)=O)cc1)c1OC,Cc(cc(CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)cc1)c1OC,Cc(cc(CC(N(CCCCNC(N(C)C)=O)[Hg])=O)cc1)c1OC
16373,CCOc(ccc(CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)c1)c1OC,CCOc(ccc(CC(NCCCCNC(N(C)C)=O)=O)c1)c1OC,CCOc(ccc(CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)c1)c1OC,CCOc(ccc(CC(N(CCCCNC(N(C)C)=O)[Hg])=O)c1)c1OC
16374,CN(C)C(NCCCC(C(O)=O)NC(CCc1ncc(-c2ccccc2)[o]1)=O)=O,CN(C)C(NCCCCNC(CCc1ncc(-c2ccccc2)[o]1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc1ncc(-c2ccccc2)[o]1)=O)=O,CN(C)C(NCCCCN(C(CCc1ncc(-c2ccccc2)[o]1)=O)[Hg])=O
