"Position","SMILES_Structure","SMILES_Scaffold"
"3","NC(c1c(C([Hg])=O)c(cccc2)c2[nH]1)=O","NC(c1cc(cccc2)c2[nH]1)=O"
"6","NC(c(c([nH]cc1)c1cc1)c1C([Hg])=O)=O","NC(c1c2[nH]ccc2ccc1)=O"
"4","NC(c(cc1)c2[nH]ccc2c1C([Hg])=O)=O","NC(c1c2[nH]ccc2ccc1)=O"
"4","NC(c1cc(C([Hg])=O)c(cc[nH]2)c2c1)=O","NC(c1cc([nH]cc2)c2cc1)=O"
"4","NC(c1c[nH]c2cccc(C([Hg])=O)c12)=O","NC(c1c[nH]c2c1cccc2)=O"
"4","NC(c([nH]c1ccc2)cc1c2C([Hg])=O)=O","NC(c1cc(cccc2)c2[nH]1)=O"
"5","NC(c1c2[nH]ccc2cc(C([Hg])=O)c1)=O","NC(c1c2[nH]ccc2ccc1)=O"
"4","NC(c(cc1)c(C([Hg])=O)c2c1[nH]cc2)=O","NC(c(cc1)cc2c1[nH]cc2)=O"
"3","COC(c1c(c(C([Hg])=O)c[nH]2)c2ccc1)=O","COC(c1c(cc[nH]2)c2ccc1)=O"
"7","COC(c1c(C([Hg])=O)c([nH]cc2)c2cc1)=O","COC(c1cc([nH]cc2)c2cc1)=O"
"6","COC(c1cc(ccc(C([Hg])=O)c2)c2[nH]1)=O","COC(c1cc(cccc2)c2[nH]1)=O"
"6","COC(c1c[nH]c2c1ccc(C([Hg])=O)c2)=O","COC(c1c[nH]c2c1cccc2)=O"
"3","COC(c(cc1)cc2c1[nH]cc2C([Hg])=O)=O","COC(c(cc1)cc2c1[nH]cc2)=O"
"3","COC(c(cc1)cc2c1c(C([Hg])=O)c[nH]2)=O","COC(c1cc([nH]cc2)c2cc1)=O"
"3","COC(c1cccc2c1[nH]cc2C([Hg])=O)=O","COC(c1c2[nH]ccc2ccc1)=O"
"2","COC(c1cc([nH]c(C([Hg])=O)c2)c2cc1)=O","COC(c1cc([nH]cc2)c2cc1)=O"
"2","COC(c(cc1)cc2c1[nH]c(C([Hg])=O)c2)=O","COC(c(cc1)cc2c1[nH]cc2)=O"
"2","COC(c1cccc2c1cc(C([Hg])=O)[nH]2)=O","COC(c1c(cc[nH]2)c2ccc1)=O"
"2","COC(c1cccc2c1[nH]c(C([Hg])=O)c2)=O","COC(c1c2[nH]ccc2ccc1)=O"
